id,title,url,referenceId,location,type,postDate,postAt,postedTimestamp,benefits,company_name,company_logo,company_url,posterId
4007295222,Python Developer : [Intern],https://www.linkedin.com/jobs/view/4007295222,kiggdfeiP8rJjnMhroYd8g==,India (Remote),Full-time,8 hours ago,2024-08-25 08:41:03 +0000 UTC,1724575263000,₹400K/yr - ₹500K/yr,RapidxIQ Technologies,https://media.licdn.com/dms/image/v2/D4E0BAQHvTLsVTYy2BQ/company-logo_200_200/company-logo_200_200/0/1721648715777/rapidxiq_logo?e=1732752000&v=beta&t=IiEy7d2z_cu1KaX9qmrTl-Jw-9cDxS4Zk6eyICr1050,https://www.linkedin.com/company/rapidxiq/life,
4007295820,Python Developer : [intern Required],https://www.linkedin.com/jobs/view/4007295820,kiggdfeiP8rJjnMhroYd8g==,India (Remote),Full-time,8 hours ago,2024-08-25 09:13:09 +0000 UTC,1724577189000,₹400K/yr - ₹500K/yr,Bytemetrics Solutions,https://media.licdn.com/dms/image/v2/D4D0BAQHx5MzQON2fCA/company-logo_200_200/company-logo_200_200/0/1708664407229/interai_technologies_logo?e=1732752000&v=beta&t=H3vhaDXNqCm7KEMdD2LONk2f3E_lDzqM15aRvpDhvqQ,https://www.linkedin.com/company/bytemetricssolutions/life,
4007292544,Python Software Dev(Hiring Fresher Batch)__,https://www.linkedin.com/jobs/view/4007292544,kiggdfeiP8rJjnMhroYd8g==,India (Remote),Full-time,8 hours ago,2024-08-25 08:46:02 +0000 UTC,1724575562000,₹400K/yr - ₹500K/yr,RapidxIQ Technologies,https://media.licdn.com/dms/image/v2/D4E0BAQHvTLsVTYy2BQ/company-logo_200_200/company-logo_200_200/0/1721648715777/rapidxiq_logo?e=1732752000&v=beta&t=IiEy7d2z_cu1KaX9qmrTl-Jw-9cDxS4Zk6eyICr1050,https://www.linkedin.com/company/rapidxiq/life,
4007708133,Python Developer : [Intern],https://www.linkedin.com/jobs/view/4007708133,kiggdfeiP8rJjnMhroYd8g==,India (Remote),Full-time,7 hours ago,2024-08-25 09:50:10 +0000 UTC,1724579410000,₹400K/yr - ₹500K/yr,Innovateshield Solutions,https://media.licdn.com/dms/image/v2/D4E0BAQEXksObiqRSCA/company-logo_200_200/company-logo_200_200/0/1721229049793?e=1732752000&v=beta&t=T_hRIvuBBxjVCuUt0q9mpB53usHGBpkDJBkl8BlGF-k,https://www.linkedin.com/company/innovateshield-solutions/life,
3994290120,Python Developer,https://www.linkedin.com/jobs/view/3994290120,kiggdfeiP8rJjnMhroYd8g==,India (Remote),Full-time,2 weeks ago,2024-08-08 11:31:54 +0000 UTC,1723116714000,,i-Qode Digital Solutions,https://media.licdn.com/dms/image/v2/C4E0BAQFd0pFiknK8tw/company-logo_200_200/company-logo_200_200/0/1630652657937/i_qode_solutions_logo?e=1732752000&v=beta&t=fW4Q4UpWebul10lRFFElQ637GR_7JeDFEnfNoLIT2nM,https://www.linkedin.com/company/i-qode-solutions/life,
4007254155,Junior Full Stack Web Developer (Entry-Level) @Clanner,https://www.linkedin.com/jobs/view/4007254155,kiggdfeiP8rJjnMhroYd8g==,India (Remote),Full-time,13 hours ago,2024-08-25 04:15:02 +0000 UTC,1724559302000,₹30K/month - ₹40K/month,Clanner,https://media.licdn.com/dms/image/v2/D560BAQGMnRkXrpny8g/company-logo_200_200/company-logo_200_200/0/1716408724377?e=1732752000&v=beta&t=kJDtWKitMINfuZnSAGzF0cQN3ySRNV0DJ-OKwCR9lO8,https://www.linkedin.com/company/clanner/life,
3999350901,Robotics Intern,https://www.linkedin.com/jobs/view/3999350901,kiggdfeiP8rJjnMhroYd8g==,India (Remote),Internship,1 week ago,2024-08-15 16:13:40 +0000 UTC,1723738420000,,Black Coffee Robotics,https://media.licdn.com/dms/image/v2/C4D0BAQEnsnAEA2RW2A/company-logo_200_200/company-logo_200_200/0/1630498552533/blackcoffeerobotics_logo?e=1732752000&v=beta&t=dsO4bBuzckTjO7XrzwFzGs5rENJkyVR72jrXt7l6zCc,https://www.linkedin.com/company/blackcoffeerobotics/life,197398879
3879565540,Full Stack Developer Internship,https://www.linkedin.com/jobs/view/3879565540,kiggdfeiP8rJjnMhroYd8g==,India (On-site),Internship,4 months ago,2024-04-01 07:07:05 +0000 UTC,1711955225000,₹10K/month - ₹18K/month,Idea Usher,https://media.licdn.com/dms/image/v2/C4D0BAQEOQMLM8SEwwA/company-logo_200_200/company-logo_200_200/0/1640672871088/idea_usher_logo?e=1732752000&v=beta&t=ZjUB86Y37p4_GsgF37bn5lqEzWyq0IoYBUKaZYmleAQ,https://www.linkedin.com/company/idea-usher/life,
4007706084,Python Software Developer (Fresh Applications)_,https://www.linkedin.com/jobs/view/4007706084,kiggdfeiP8rJjnMhroYd8g==,India (Remote),Full-time,7 hours ago,2024-08-25 09:42:10 +0000 UTC,1724578930000,₹400K/yr - ₹500K/yr,Sparkmetrics Solutions,https://media.licdn.com/dms/image/v2/D560BAQFLeps60DlXzA/company-logo_200_200/company-logo_200_200/0/1712897198716?e=1732752000&v=beta&t=vHITjiazyTNvKdAFeW6xyzKrfQm6ax0kP5vHpzV0Noc,https://www.linkedin.com/company/sparkmetricssolutions/life,
4001364143,Full Stack Developer (Python),https://www.linkedin.com/jobs/view/4001364143,kiggdfeiP8rJjnMhroYd8g==,India (Remote),Contract,1 week ago,2024-08-14 09:20:28 +0000 UTC,1723627228000,,Cloudbit Consultancy Pvt. Ltd.,https://media.licdn.com/dms/image/v2/D4E0BAQFJfJIa_IYTeA/company-logo_200_200/company-logo_200_200/0/1710948008928/cloudbitconsultancypvtltd_logo?e=1732752000&v=beta&t=NZfv55XfNm7uPmKIgcldY3xyL3jLIM3bS0WEqIE3FtM,https://www.linkedin.com/company/cloudbitconsultancypvtltd/life,1271848847
